column_1,column_2,column_1_name,column_2_name,dependency
0,1,tuple_id,src,"The source/provider name appears to influence the numeric amount in the first column. Different provider names are associated with different prices for the same underlying itinerary, suggesting the provider may determine or strongly affect the quoted price."
1,2,src,flight,"The text source/category value appears to determine the format and interpretation of the flight identifier field; the identifier is a structured code of the form airline-flightnumber-origin-destination (for example, AA-2268-PHX-ORD), and both source values refer to the same structured flight record."
2,3,flight,sched_dep_time,"The structured flight identifier appears to encode a specific flight route/service, and it is associated with the same scheduled departure timestamp. In the sample, the same airline-flight-route code corresponds to the same departure date/time string."
2,4,flight,act_dep_time,"The structured travel identifier in column 2 appears to contain an airline/route code, and its route segment determines the departure airport/location reflected by the timestamped departure event in column 4. In the sample, the middle pattern 'BOS-ORD' implies departure from BOS, matching the departure-time field."
2,5,flight,sched_arr_time,The structured flight identifier appears to determine the scheduled arrival time. The same flight code pattern (airline code + flight number + origin airport + destination airport) is associated with the same scheduled arrival clock time across records.
2,6,flight,act_arr_time,"The structured travel identifier in column 2 appears to contain an airline/route code, and its route segment determines the arrival airport/location reflected by the timestamped arrival event in column 6. In the sample, the middle pattern 'BOS-ORD' implies arrival at ORD, matching the arrival-time field."
3,4,sched_dep_time,act_dep_time,"Columns 3 and 4 both appear to represent scheduled versus actual departure timestamps for the same trip instance. They share the same date and correspond to the same departure event, with column 4 being a realized time close to the planned time in column 3."
3,5,sched_dep_time,sched_arr_time,Columns 3 and 5 appear to be the scheduled departure and scheduled arrival timestamps for the same flight/trip record. The departure schedule determines the corresponding arrival schedule within the same itinerary instance.
3,6,sched_dep_time,act_arr_time,"The structured identifier in column 2 appears to encode a specific flight instance (airline/flight number and route, e.g. carrier-flight-origin-destination). That flight instance determines the scheduled and actual departure/arrival times in columns 3, 4, 5, and 6."
4,5,act_dep_time,sched_arr_time,"The structured identifier in column 2 appears to encode a specific flight instance (airline/flight number and route, e.g. carrier-flight-origin-destination). That flight instance determines the scheduled and actual departure/arrival times in columns 3, 4, 5, and 6."
4,6,act_dep_time,act_arr_time,The two time columns appear semantically linked as parts of the same itinerary or schedule record: one looks like a departure time and the other an arrival time for the same flight/service. Their meanings are jointly determined by the same transportation event.
5,6,sched_arr_time,act_arr_time,These two columns both represent closely related arrival times for the same trip segment: one looks like a scheduled arrival time and the other an actual/updated arrival time. Their meanings are semantically linked because both describe arrival for the same underlying flight event.
